Approved symbol	Status	Previous symbols	Alias symbols	RefSeq IDs	Ensembl ID(supplied by Ensembl)
ABO	Approved		A3GALNT, A3GALT1	NM_020469	ENSG00000175164
ABR	Approved		MDB		ENSG00000159842
ABR-AS1	Approved				
ABRA	Approved		STARS	NM_139166	ENSG00000174429
ABRACL	Approved	C6orf115	PRO2013, HSPC280, Costars	NM_021243	ENSG00000146386
ABRAXAS1	Approved	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	NM_139076	ENSG00000163322
ABRAXAS2	Approved	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	NM_032182	ENSG00000165660
ABT1	Approved		Esf2		ENSG00000146109
ABT1P1	Approved			NG_025142	ENSG00000250496
ABTB1	Approved		BPOZ, EF1ABP, Btb3, BTBD21	NM_172027	ENSG00000114626
ABTB2	Approved		DKFZP586C1619, BTBD22, ABTB2A	NM_145804	ENSG00000166016
ACAA1	Approved			NM_001607	ENSG00000060971
ACAA2	Approved		DSAEC	NM_006111	ENSG00000167315
ACAA2P1	Approved				
ACACA	Approved	ACAC, ACC	ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1	NM_198836	ENSG00000278540
ACACB	Approved		HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta	NM_001093	ENSG00000076555
ACAD	Entry Withdrawn				
ACAD8	Approved			NM_014384	ENSG00000151498
ACAD9	Approved		NPD002, MGC14452	NM_014049	ENSG00000177646
ACAD9-DT	Approved				
ACAD10	Approved		MGC5601	NM_025247	ENSG00000111271
ACAD11	Approved		FLJ12592	NM_032169	ENSG00000240303
ACADL	Approved		LCAD, ACAD4	NM_001608	ENSG00000115361
ACADM	Approved		MCAD, MCADH, ACAD1		ENSG00000117054
ACADS	Approved		SCAD, ACAD3	NM_000017	ENSG00000122971
ACADSB	Approved		SBCAD, ACAD7	NM_001609	ENSG00000196177
ACADVL	Approved		VLCAD, LCACD, ACAD6	NM_000018	ENSG00000072778
ACAN	Approved	MSK16, CSPG1, AGC1	CSPGCP	NM_001135	ENSG00000157766
ACAP1	Approved	CENTB1	KIAA0050	NM_014716	ENSG00000072818
ACAP2	Approved	CENTB2	KIAA0041, CNT-B2	NM_012287	ENSG00000114331
ACAP2-IT1	Approved				ENSG00000229325
ACAP3	Approved	CENTB5	KIAA1716	NM_030649	ENSG00000131584
ACAT1	Approved	ACAT	THIL	NM_000019	ENSG00000075239
ACAT2	Approved			NM_005891	ENSG00000120437
ACBD3	Approved	GOLPH1, GOCAP1	GCP60, PAP7	NM_022735	ENSG00000182827
ACBD3-AS1	Approved		RP11-275I14.4	NR_146443	ENSG00000234478
ACBD4	Approved		FLJ13322	NM_024722	ENSG00000181513
ACBD5	Approved		DKFZp434A2417, KIAA1996	NM_145698	ENSG00000107897
ACBD6	Approved		MGC2404	NM_032360	ENSG00000230124
ACBD7	Approved		FLJ38219, bA455B2.2		ENSG00000176244
ACBP	Symbol Withdrawn				
ACC	Symbol Withdrawn				
ACCN	Symbol Withdrawn				
ACCPN	Symbol Withdrawn				
ACCS	Approved		PHACS, ACS	NM_032592	ENSG00000110455
ACCSL	Approved			NM_001031854	ENSG00000205126
ACD	Approved		Ptop, Pip1, Tpp1, Tint1	NM_022914	ENSG00000102977
ACE	Approved	DCP1	ACE1, CD143	NM_000789	ENSG00000159640
ACE2	Approved		ACEH		ENSG00000130234
ACE3P	Approved				ENSG00000224353
ACER1	Approved	ASAH3		NM_133492	ENSG00000167769
ACER2	Approved	ASAH3L	FLJ41587, ALKCDase2	NM_001010887	ENSG00000177076
ACER2P1	Approved			NG_030142	ENSG00000180105
ACER3	Approved	PHCA	FLJ11238, APHC	NM_018367	ENSG00000078124
ACH	Symbol Withdrawn				
ACHAP	Symbol Withdrawn				
ACHE	Approved	YT		NM_015831	ENSG00000087085
ACHM1	Symbol Withdrawn	RMCH			
ACHM2	Symbol Withdrawn				
ACHM3	Symbol Withdrawn				
ACHRD	Symbol Withdrawn				
ACHRG	Symbol Withdrawn				
ACIN1	Approved	ACINUS	KIAA0670, fSAP152	NM_014977	ENSG00000100813
ACKR1	Approved	FY, DARC	CCBP1, GPD, Dfy, CD234	NM_002036	ENSG00000213088
ACKR2	Approved	CMKBR9, CCBP2	CCR10, D6, CCR9	NM_001296	ENSG00000144648
ACKR3	Approved	CMKOR1, CXCR7	RDC1, GPR159	NM_020311	ENSG00000144476
ACKR4	Approved	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	NM_016557	ENSG00000129048
ACKR4P1	Approved	CCRL1P, CCRL1P1	dJ509I19.4	XM_208346	ENSG00000225415
ACLS	Entry Withdrawn				
ACLY	Approved		ATPCL, CLATP, ACL	NM_001096	ENSG00000131473
ACMG	Entry Withdrawn				
ACMSD	Approved				ENSG00000153086
ACNATP	Approved	BAATP1			ENSG00000227411
ACO1	Approved	IREB1	IRP1, IREBP	NM_002197	ENSG00000122729
ACO2	Approved		ACONM	NM_001098	ENSG00000100412
ACOD1	Approved	IRG1	CAD	NM_001258406	ENSG00000102794
ACOT1	Approved		ACH2, CTE-1, LACH2	NM_001037161	ENSG00000184227
ACOT2	Approved		Mte1, ZAP128	NM_006821	ENSG00000119673
ACOT4	Approved		FLJ31235, PTE-Ib, PTE2B	NM_152331	ENSG00000177465
ACOT6	Approved	C14orf42		NM_001037162	ENSG00000205669
ACOT7	Approved		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	NM_007274	ENSG00000097021
ACOT8	Approved	PTE1	hACTE-III, hTE, PTE-2, NAP1	NM_183386	ENSG00000101473
ACOT9	Approved		CGI-16, MT-ACT48, ACATE2	NM_012332	ENSG00000123130
ACOT11	Approved	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	NM_015547	ENSG00000162390
ACOT12	Approved		Cach, THEAL, STARD15	NM_130767	ENSG00000172497
ACOT13	Approved	THEM2	HT012	NM_018473	ENSG00000112304
ACOX1	Approved		PALMCOX		ENSG00000161533
ACOX2	Approved		BRCACOX, BRCOX, THCCox	NM_003500	ENSG00000168306
ACOX3	Approved				ENSG00000087008
ACOXL	Approved		FLJ11042	NM_018308	ENSG00000153093
ACOXL-AS1	Approved			NR_122074	ENSG00000204581
ACP1	Approved		HAAP, LMW-PTP, LMWPTP	NM_004300	ENSG00000143727
ACP2	Approved		LAP	NM_001610	ENSG00000134575
ACP3	Approved	ACPP	ACP-3, PAP, TM-PAP	NM_001099	ENSG00000014257
ACP4	Approved	ACPT		NM_033068	ENSG00000142513
ACP5	Approved		TRAP, HPAP		ENSG00000102575
ACP6	Approved		LPAP, ACPL1	NM_016361	ENSG00000162836
ACP7	Approved		FLJ16165, PAPL1, PAPL	NM_001004318	ENSG00000183760
ACR	Approved			NM_001097	ENSG00000100312
ACRBP	Approved		SP32, OY-TES-1, CT23	NM_032489	ENSG00000111644
ACRP1	Approved			NG_021518	ENSG00000175509
ACRV1	Approved		SPACA2, SP-10, D11S4365	NM_001612	ENSG00000134940
ACS3	Symbol Withdrawn				
ACSBG1	Approved		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	NM_015162	ENSG00000103740
ACSBG2	Approved		BGR, PRTD-NY3, DKFZp434K1635	NM_030924	ENSG00000130377
ACSF2	Approved		FLJ20920, ACSMW	NM_025149	ENSG00000167107
ACSF3	Approved			NM_174917	ENSG00000176715
ACSL1	Approved	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	NM_001995	ENSG00000151726
ACSL3	Approved	FACL3	ACS3, PRO2194	NM_004457	ENSG00000123983
ACSL3-AS1	Approved				ENSG00000234193
ACSL4	Approved	FACL4, MRX63, MRX68	ACS4, LACS4	NM_004458	ENSG00000068366
ACSL5	Approved	FACL5	ACS5, ACS2	NM_016234	ENSG00000197142
ACSL6	Approved	FACL6	KIAA0837, ACS2, LACS5, LACS2	NM_015256	ENSG00000164398
ACSL6-AS1	Approved				ENSG00000223548
ACSM1	Approved	BUCS1	MACS1	NM_052956	ENSG00000166743
ACSM2A	Approved	ACSM2	A-923A4.1, MGC150530	NM_001308172	ENSG00000183747
ACSM2B	Approved	ACSM2	HXMA, HYST1046	NM_182617	ENSG00000066813
ACSM3	Approved	SAH	SA	NM_005622	ENSG00000005187
ACSM4	Approved			NM_001080454	ENSG00000215009
ACSM5	Approved		FLJ20581	NM_017888	ENSG00000183549
ACSM5P1	Approved			NG_026352	ENSG00000260762
ACSM6	Approved	C10orf129	bA310E22.3	NM_207321	ENSG00000173124
ACSS1	Approved	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	NM_032501	ENSG00000154930
ACSS2	Approved	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	NM_018677	ENSG00000131069
ACSS3	Approved		FLJ21963	NM_024560	ENSG00000111058
ACTA1	Approved	ACTA	NEM3	NM_001100	ENSG00000143632
ACTA2	Approved		ACTSA	NM_001613	ENSG00000107796
ACTA2-AS1	Approved		uc001kfo.1, ZXF1, UC001kfo	NR_125373	ENSG00000180139
ACTA3	Symbol Withdrawn				
ACTB	Approved			NM_001101	ENSG00000075624
ACTBL2	Approved		DKFZp686D0972	NM_001017992	ENSG00000169067
ACTBP1	Approved			NG_022596	ENSG00000229145
ACTBP2	Approved			NG_003019	ENSG00000213763
ACTBP3	Approved				
ACTBP4	Approved				ENSG00000286676
ACTBP5	Entry Withdrawn				
ACTBP6	Approved			NG_008793	ENSG00000203413
ACTBP7	Approved				ENSG00000185607
ACTBP8	Approved		ACTBP2	NG_000840	ENSG00000220267
ACTBP9	Approved			NG_003162	ENSG00000266920
ACTBP10	Approved				
ACTBP11	Approved				ENSG00000188460
ACTBP12	Approved	ACTGP5		NG_026958	ENSG00000233125
ACTBP14	Approved			NG_022182	ENSG00000229001
ACTBP15	Approved				ENSG00000213857
ACTC1	Approved	ACTC	CMD1R	NM_005159	ENSG00000159251
ACTE1P	Approved				ENSG00000172900
ACTG1	Approved	ACTG, DFNA20, DFNA26		NM_001614	ENSG00000184009
ACTG1P1	Approved	ACTGP1, ACT1GP1		NG_001068	ENSG00000178631
ACTG1P2	Approved	ACTL2, ACTGP2		NG_004636	ENSG00000229129
ACTG1P3	Approved	ACTGP3		NG_000842	ENSG00000215388
ACTG1P4	Approved	ACTGP4			ENSG00000236085
ACTG1P6	Approved	ACTGP6			
ACTG1P7	Approved	ACTGP7			
ACTG1P8	Approved	ACTGP8			
ACTG1P9	Approved	ACTGP9		NG_001069	ENSG00000229349
ACTG1P10	Approved	ACTL1, ACTGP10		NG_003039	ENSG00000231340
ACTG1P11	Approved			NG_004636	ENSG00000229465
ACTG1P12	Approved				ENSG00000226642
ACTG1P13	Approved				ENSG00000241305
ACTG1P14	Approved			NG_023870	ENSG00000230581
ACTG1P15	Approved				ENSG00000259904
ACTG1P16	Approved				ENSG00000260298
ACTG1P17	Approved				ENSG00000259315
ACTG1P18	Approved				ENSG00000218475
ACTG1P19	Approved				ENSG00000237999
ACTG1P20	Approved				ENSG00000241547
ACTG1P21	Approved				ENSG00000232672
ACTG1P22	Approved				ENSG00000271615
ACTG1P23	Approved				ENSG00000230362
ACTG1P24	Approved	POTENP			ENSG00000226359
ACTG1P25	Approved		AGPG	NR_002929	ENSG00000234996
ACTG2	Approved	ACTL3, ACTA3	ACTSG	NM_001615	ENSG00000163017
ACTL2	Symbol Withdrawn				
ACTL3	Symbol Withdrawn				
ACTL4	Entry Withdrawn				
ACTL5	Entry Withdrawn		ACTFIB		
ACTL6A	Approved		Actl6, BAF53A, Arp4, Baf53a, INO80K, SMARCN1	NM_004301	ENSG00000136518
ACTL6B	Approved	ACTL6	BAF53B, SMARCN2	NM_016188	ENSG00000077080
ACTL7A	Approved			NM_006687	ENSG00000187003
ACTL7B	Approved		Tact1	NM_006686	ENSG00000148156
ACTL8	Approved		CT57	NM_030812	ENSG00000117148
ACTL9	Approved		MGC33407	NM_178525	ENSG00000181786
ACTL10	Approved	C20orf134			ENSG00000288649
ACTL11P	Approved	ACTBP13			ENSG00000234667
ACTN1	Approved			NM_001102	ENSG00000072110
ACTN1-DT	Approved	C14orf84, ACTN1-AS1			ENSG00000259062
ACTN2	Approved			NM_001103	ENSG00000077522
ACTN3	Approved			NM_001104	ENSG00000248746
ACTN4	Approved	FSGS1			ENSG00000130402
ACTN4P1	Approved				ENSG00000213493
ACTN4P2	Approved				ENSG00000214141
ACTP1	Approved			NG_044542	ENSG00000229890
ACTR1A	Approved		ARP1, Arp1A		ENSG00000138107
ACTR1AP1	Approved			NG_021577	ENSG00000233370
ACTR1B	Approved	CTRN2	Arp1B	NM_005735	ENSG00000115073
ACTR2	Approved		ARP2	NM_001005386	ENSG00000138071
ACTR3	Approved		ARP3	NM_005721	ENSG00000115091
ACTR3-AS1	Approved		AC104653.1	NR_110174	ENSG00000228857
ACTR3B	Approved		ARP11, ARP3beta	NM_020445	ENSG00000133627
ACTR3BP1	Approved			NG_005799	ENSG00000270242
ACTR3BP2	Approved		FKSG73		ENSG00000226481
ACTR3BP3	Approved				ENSG00000260327
ACTR3BP4	Approved				ENSG00000249283
ACTR3BP5	Approved				ENSG00000227264
ACTR3BP6	Approved				ENSG00000280263
ACTR3BP7	Approved				ENSG00000226444
ACTR3C	Approved		ARP11		ENSG00000106526
ACTR3P1	Approved				
ACTR3P2	Approved				ENSG00000232267
ACTR3P3	Approved				ENSG00000242573
ACTR5	Approved		FLJ12785, Arp5, INO80M	NM_024855	ENSG00000101442
ACTR6	Approved		ARP6, FLJ13433	NM_022496	ENSG00000075089
ACTR6P1	Approved			NG_025147	ENSG00000248915
ACTR8	Approved		INO80N, ARP8	NM_022899	ENSG00000113812
ACTR10	Approved		HARP11, ACTR11, Arp11, Arp10		ENSG00000131966
ACTRT1	Approved		AIP1, KIAA0705, ARIP1, Arp-T1	NM_138289	ENSG00000123165
ACTRT1P1	Approved			NG_011795	ENSG00000235239
ACTRT2	Approved		Arp-T2, ARPM2, FLJ25424	NM_080431	ENSG00000169717
ACTRT3	Approved		ARPM1	NM_032487	ENSG00000184378
ACVR1	Approved	ACVRLK2	SKR1, ALK2, ACVR1A	NM_001105	ENSG00000115170
ACVR1B	Approved	ACVRLK4	ALK4, SKR2, ActRIB	NM_020328	ENSG00000135503
ACVR1C	Approved		ALK7, ACVRLK7	NM_145259	ENSG00000123612
ACVR2A	Approved	ACVR2	ACTRII	NM_001616	ENSG00000121989
ACVR2B	Approved		ActR-IIB	NM_001106	ENSG00000114739
ACVR2B-AS1	Approved			NR_028389	ENSG00000229589
ACVRL1	Approved	ACVRLK1, ORW2	HHT2, ALK1, HHT	NM_000020	ENSG00000139567
ACVRLK2	Symbol Withdrawn				
ACY1	Approved			NM_000666	ENSG00000243989
ACY1L	Symbol Withdrawn	ACY1L	AN		
ACY3	Approved		HCBP1, MGC9740, ACY-3	NM_080658	ENSG00000132744
ACYP1	Approved				ENSG00000119640
ACYP2	Approved				ENSG00000170634
AD1	Symbol Withdrawn				
AD2	Symbol Withdrawn	AD2			
AD3	Symbol Withdrawn				
AD4	Symbol Withdrawn				
AD5	Entry Withdrawn				
ADA	Approved		ADA1	NM_000022	ENSG00000196839
ADA2	Approved	IDGFL, CECR1	ADGF		ENSG00000093072
ADAD1	Approved		Tenr	NM_139243	ENSG00000164113
ADAD1P1	Approved				
ADAD1P2	Approved				ENSG00000267511
ADAD2	Approved		TENRL, FLJ00337	NM_139174	ENSG00000140955
ADAL	Approved			NM_001324366	ENSG00000168803
ADAM1A	Approved	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P	NG_001216	ENSG00000229186
ADAM1B	Approved			NG_024129	ENSG00000226469
